Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Doberman Pinscher,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4
Dogo Argentino,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4
Dogue de Bordeaux,5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4
English Cocker Spaniel,5,5,5,3,3,2,Double,Medium; Long,4,3,3,4,4,3,3,4
English Foxhound,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
English Setter,5,4,4,3,3,3,Double; Silky,Medium,4,4,3,4,4,3,3,4
English Springer Spaniel,5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4
English Toy Spaniel,5,5,5,3,3,2,Double; Silky,Medium,3,4,3,4,3,3,2,3
Entlebucher Mountain Dog,5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4
Field Spaniel,5,5,4,3,2,2,Smooth; Wavy,Medium,4,3,3,4,5,3,3,3
Finnish Lapphund,5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3
Finnish Spitz,5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4
Flat-Coated Retriever,5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4
French Bulldog,5,5,4,3,1,3,Smooth,Short,5,5,3,5,4,3,1,3
German Pinscher,5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4
German Shepherd Dog,5,5,3,4,2,2,Double,Medium,3,4,5,5,5,5,3,5
German Shorthaired Pointer,5,5,4,3,2,2,Smooth,Short,4,4,4,4,5,5,3,5
German Wirehaired Pointer,5,3,3,2,2,2,Wiry; Double,Medium,4,4,3,4,5,5,3,4
Giant Schnauzer,4,3,3,2,4,2,Wiry; Double,Medium,2,5,5,4,3,5,3,5
Glen of Imaal Terrier,5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3
Golden Retriever,5,5,5,4,2,2,Double,Medium,5,4,3,5,5,3,1,4
