Breed,Family Life,Physical,Social,Personality,Coat Type,Coat Length,Popularity Tier
Havanese,5.0,2.0,4.5,3.5,Double; Silky,Long,High Popularity
Ibizan Hound,4.333333333333333,1.3333333333333333,3.5,4.0,Wiry; Smooth,Short,Low Popularity
Icelandic Sheepdog,4.666666666666667,2.3333333333333335,3.5,4.5,Double,Medium,Low Popularity
Irish Red and White Setter,5.0,2.0,4.0,4.0,Double; Silky,Medium,Low Popularity
Irish Setter,5.0,2.6666666666666665,4.25,4.0,Silky,Medium,Medium Popularity
Irish Terrier,3.6666666666666665,1.3333333333333333,3.75,3.25,Wiry; Double,Medium,Medium Popularity
Irish Water Spaniel,3.6666666666666665,2.0,3.75,3.25,Curly,Medium,Low Popularity
Irish Wolfhound,4.0,2.3333333333333335,3.5,2.5,Wiry,Medium,Medium Popularity
Italian Greyhound,4.333333333333333,1.6666666666666667,4.0,3.25,Smooth,Short,Medium Popularity
Japanese Chin,4.333333333333333,2.0,3.25,2.75,Silky,Medium,Medium Popularity
Keeshond,5.0,2.6666666666666665,5.0,4.25,Double,Long,Medium Popularity
Kerry Blue Terrier,3.6666666666666665,2.0,3.5,3.75,Wavy,Medium,Low Popularity
Komondor,3.3333333333333335,2.3333333333333335,3.5,3.25,Corded,Long,Low Popularity
Kuvasz,3.6666666666666665,2.3333333333333335,3.75,3.5,Double,Medium,Low Popularity
Labrador Retriever,5.0,2.6666666666666665,4.5,4.25,Double,Short,High Popularity
Lagotto Romagnolo,4.333333333333333,1.6666666666666667,3.75,3.5,Double; Curly,Medium,Medium Popularity
Lakeland Terrier,3.6666666666666665,1.6666666666666667,3.5,3.25,Wiry; Double,Short,Low Popularity
Lancashire Heeler,5.0,1.6666666666666667,3.75,4.0,Double,Short,Low Popularity
Leonberger,4.333333333333333,3.6666666666666665,4.0,3.75,Double,Long,Medium Popularity
Lhasa Apso,3.6666666666666665,1.6666666666666667,4.0,3.0,Silky,Long,Medium Popularity
Lowchen,4.333333333333333,1.6666666666666667,3.75,3.25,Wavy,Long,Low Popularity
Maltese,3.6666666666666665,2.0,3.5,3.0,Silky,Long,High Popularity
Manchester Terrier,4.0,1.6666666666666667,3.75,3.75,Smooth,Short,Medium Popularity
Mastiff,4.333333333333333,2.6666666666666665,3.75,2.5,Double,Short,High Popularity
Miniature American Shepherd,5.0,2.6666666666666665,3.5,4.5,Double,Medium,High Popularity
Miniature Bull Terrier,3.6666666666666665,1.6666666666666667,3.75,4.0,Smooth,Short,Medium Popularity
Miniature Pinscher,4.0,1.6666666666666667,4.0,4.5,Smooth,Short,Medium Popularity
Miniature Schnauzer,4.333333333333333,3.0,4.0,4.25,Wiry; Double,Medium,High Popularity
Mudi,3.6666666666666665,1.6666666666666667,4.0,4.25,Curly,Medium,Medium Popularity
Neapolitan Mastiff,3.0,3.3333333333333335,3.25,2.25,Smooth,Short,Medium Popularity
Nederlandse Kooikerhondje,3.6666666666666665,2.3333333333333335,3.5,4.0,Double; Wavy,Medium,Low Popularity
Newfoundland,5.0,3.3333333333333335,4.25,2.5,Double,Medium,High Popularity
Norfolk Terrier,4.333333333333333,2.0,4.25,3.75,Wiry; Double,Short,Medium Popularity
Norwegian Buhund,3.6666666666666665,2.0,3.5,3.75,Double,Medium,Low Popularity
Norwegian Elkhound,3.6666666666666665,2.3333333333333335,4.25,4.0,Double,Medium,Medium Popularity
Norwegian Lundehund,3.6666666666666665,2.0,3.0,3.25,Double,Short,Low Popularity
Norwich Terrier,4.333333333333333,2.0,4.25,3.75,Wiry; Double,Short,Medium Popularity
Nova Scotia Duck Tolling Retriever,4.666666666666667,2.3333333333333335,3.75,4.0,Double,Medium,Medium Popularity
Old English Sheepdog,4.333333333333333,3.3333333333333335,3.75,3.5,Double,Long,Medium Popularity
Otterhound,3.6666666666666665,2.3333333333333335,3.5,3.75,Rough; Double,Medium,Low Popularity
Papillon,4.333333333333333,2.0,4.75,4.75,Silky,Medium,High Popularity
Parson Russell Terrier,4.333333333333333,1.6666666666666667,3.5,4.0,Smooth; Double,Short,Medium Popularity
Pekingese,3.6666666666666665,2.3333333333333335,3.75,2.5,Double,Long,Medium Popularity
Pembroke Welsh Corgi,4.0,2.3333333333333335,4.25,4.0,Double,Short,High Popularity
Petit Basset Griffon Vendéen,4.666666666666667,2.0,4.0,4.0,Rough; Double,Long,Low Popularity
Pharaoh Hound,4.333333333333333,2.0,3.0,3.75,Smooth,Short,Low Popularity
Plott Hound,4.333333333333333,1.6666666666666667,3.75,3.75,Smooth,Short,Low Popularity
Pointer,4.333333333333333,2.3333333333333335,3.75,4.0,Smooth,Short,Medium Popularity
Polish Lowland Sheepdog,3.6666666666666665,2.6666666666666665,4.25,3.75,Double,Long,Low Popularity
Pomeranian,3.6666666666666665,2.0,3.5,3.25,Double,Long,High Popularity
Poodle,4.333333333333333,2.0,4.75,4.25,Curly,Long,High Popularity
Portuguese Podengo Pequeno,5.0,2.0,3.5,3.5,Wiry; Smooth,Short,Low Popularity
Portuguese Water Dog,4.666666666666667,2.6666666666666665,4.5,4.5,Curly; Wavy,Long,High Popularity
Pug,4.666666666666667,2.3333333333333335,4.5,2.75,Smooth,Short,High Popularity
Puli,3.6666666666666665,2.6666666666666665,3.75,4.0,Corded; Double,Long,Low Popularity
Pumi,3.6666666666666665,1.6666666666666667,3.75,4.5,Curly; Wavy,Medium,Low Popularity
