Breed,Family Life,Physical,Social,Personality,Average Rank,Popularity Tier,AKC Group
Norwegian Buhund,3.6666666666666665,2.0,3.5,3.75,171.6153846153846,Low Popularity,Herding Group
Norwegian Elkhound,3.6666666666666665,2.3333333333333335,4.25,4.0,102.15384615384616,Medium Popularity,Hound Group
Norwegian Lundehund,3.6666666666666665,2.0,3.0,3.25,191.69230769230768,Low Popularity,Non-Sporting Group
Norwich Terrier,4.333333333333333,2.0,4.25,3.75,104.3076923076923,Medium Popularity,Terrier Group
Nova Scotia Duck Tolling Retriever,4.666666666666667,2.3333333333333335,3.75,4.0,86.53846153846153,Medium Popularity,Sporting Group
Old English Sheepdog,4.333333333333333,3.3333333333333335,3.75,3.5,75.46153846153847,Medium Popularity,Herding Group
Otterhound,3.6666666666666665,2.3333333333333335,3.5,3.75,180.23076923076923,Low Popularity,Hound Group
Papillon,4.333333333333333,2.0,4.75,4.75,48.53846153846154,High Popularity,Toy Group
Parson Russell Terrier,4.333333333333333,1.6666666666666667,3.5,4.0,115.0,Medium Popularity,Terrier Group
Pekingese,3.6666666666666665,2.3333333333333335,3.75,2.5,88.38461538461539,Medium Popularity,Toy Group
Pembroke Welsh Corgi,4.0,2.3333333333333335,4.25,4.0,15.153846153846153,High Popularity,Herding Group
Petit Basset Griffon Vendéen,4.666666666666667,2.0,4.0,4.0,154.0,Low Popularity,Hound Group
Pharaoh Hound,4.333333333333333,2.0,3.0,3.75,172.53846153846155,Low Popularity,Hound Group
Plott Hound,4.333333333333333,1.6666666666666667,3.75,3.75,166.30769230769232,Low Popularity,Hound Group
Pointer,4.333333333333333,2.3333333333333335,3.75,4.0,116.0,Medium Popularity,Sporting Group
Polish Lowland Sheepdog,3.6666666666666665,2.6666666666666665,4.25,3.75,175.6153846153846,Low Popularity,Herding Group
Pomeranian,3.6666666666666665,2.0,3.5,3.25,21.846153846153847,High Popularity,Toy Group
Poodle,4.333333333333333,2.0,4.75,4.25,6.3076923076923075,High Popularity,Non-Sporting Group
Portuguese Podengo Pequeno,5.0,2.0,3.5,3.5,159.07692307692307,Low Popularity,Hound Group
Portuguese Water Dog,4.666666666666667,2.6666666666666665,4.5,4.5,48.69230769230769,High Popularity,Working Group
Pug,4.666666666666667,2.3333333333333335,4.5,2.75,32.92307692307692,High Popularity,Toy Group
Puli,3.6666666666666665,2.6666666666666665,3.75,4.0,157.30769230769232,Low Popularity,Herding Group
Pumi,3.6666666666666665,1.6666666666666667,3.75,4.5,157.88888888888889,Low Popularity,Herding Group
Pyrenean Shepherd,3.6666666666666665,2.3333333333333335,4.25,4.75,182.6153846153846,Low Popularity,Herding Group
Rat Terrier,4.333333333333333,2.0,4.5,4.25,90.66666666666667,Medium Popularity,Terrier Group
Redbone Coonhound,5.0,2.6666666666666665,3.25,3.5,144.46153846153845,Low Popularity,Hound Group
Rhodesian Ridgeback,4.333333333333333,2.3333333333333335,3.75,3.25,41.0,High Popularity,Hound Group
Rottweiler,3.6666666666666665,2.3333333333333335,4.0,3.5,8.307692307692308,High Popularity,Working Group
Russell Terrier,4.333333333333333,2.0,4.5,4.25,80.46153846153847,Medium Popularity,Terrier Group
Russian Toy,3.6666666666666665,2.0,3.75,3.5,145.0,Low Popularity,Toy Group
Saint Bernard,4.333333333333333,3.3333333333333335,3.75,2.5,52.46153846153846,High Popularity,Working Group
Saluki,3.6666666666666665,1.3333333333333333,2.5,3.75,129.15384615384616,Medium Popularity,Hound Group
Samoyed,4.333333333333333,2.3333333333333335,4.5,4.25,58.30769230769231,High Popularity,Working Group
Schipperke,3.6666666666666665,2.0,4.0,3.5,110.38461538461539,Medium Popularity,Non-Sporting Group
Scottish Deerhound,4.333333333333333,1.6666666666666667,3.0,2.5,159.69230769230768,Low Popularity,Hound Group
Scottish Terrier,3.3333333333333335,2.3333333333333335,4.0,3.5,57.46153846153846,High Popularity,Terrier Group
Sealyham Terrier,3.6666666666666665,2.3333333333333335,4.0,3.75,158.53846153846155,Low Popularity,Terrier Group
Shetland Sheepdog,5.0,2.3333333333333335,4.25,4.5,25.307692307692307,High Popularity,Herding Group
Shiba Inu,3.6666666666666665,2.0,3.5,3.0,44.30769230769231,High Popularity,Non-Sporting Group
Shih Tzu,5.0,2.0,3.5,3.25,19.53846153846154,High Popularity,Toy Group
Siberian Husky,5.0,2.3333333333333335,3.75,4.25,17.53846153846154,High Popularity,Working Group
Silky Terrier,3.6666666666666665,2.0,4.25,3.5,108.53846153846153,Medium Popularity,Toy Group
Skye Terrier,3.6666666666666665,2.3333333333333335,3.0,3.0,179.07692307692307,Low Popularity,Terrier Group
Sloughi,3.3333333333333335,1.6666666666666667,2.5,3.0,193.5,Low Popularity,Hound Group
Smooth Fox Terrier,3.6666666666666665,2.0,4.0,3.75,128.23076923076923,Medium Popularity,Terrier Group
Soft Coated Wheaten Terrier,4.333333333333333,2.3333333333333335,3.0,3.25,58.69230769230769,High Popularity,Terrier Group
Spanish Water Dog,4.0,2.3333333333333335,3.25,4.0,150.33333333333334,Low Popularity,Herding Group
Spinone Italiano,4.0,2.6666666666666665,3.0,3.0,113.23076923076923,Medium Popularity,Sporting Group
Staffordshire Bull Terrier,4.333333333333333,2.3333333333333335,4.0,4.25,76.23076923076923,Medium Popularity,Terrier Group
Standard Schnauzer,4.333333333333333,2.3333333333333335,4.0,4.0,92.0,Medium Popularity,Working Group
Sussex Spaniel,3.6666666666666665,3.0,3.0,3.25,174.30769230769232,Low Popularity,Sporting Group
Swedish Vallhund,4.333333333333333,2.6666666666666665,3.5,3.75,154.76923076923077,Low Popularity,Herding Group
Tibetan Mastiff,3.3333333333333335,3.3333333333333335,3.0,3.25,138.92307692307693,Low Popularity,Working Group
Tibetan Spaniel,4.333333333333333,2.3333333333333335,4.0,3.0,119.92307692307692,Medium Popularity,Non-Sporting Group
Tibetan Terrier,3.6666666666666665,2.6666666666666665,3.5,3.5,101.3076923076923,Medium Popularity,Non-Sporting Group
Toy Fox Terrier,3.6666666666666665,2.0,4.5,4.25,110.38461538461539,Medium Popularity,Toy Group
Treeing Walker Coonhound,5.0,2.3333333333333335,3.5,4.75,136.84615384615384,Low Popularity,Hound Group
Vizsla,4.666666666666667,2.3333333333333335,4.25,4.5,33.23076923076923,High Popularity,Sporting Group
Weimaraner,4.333333333333333,2.3333333333333335,4.25,4.5,40.38461538461539,High Popularity,Sporting Group
Welsh Springer Spaniel,4.666666666666667,2.3333333333333335,2.75,4.0,130.15384615384616,Medium Popularity,Sporting Group
Welsh Terrier,4.333333333333333,2.3333333333333335,4.25,4.0,111.07692307692308,Medium Popularity,Terrier Group
West Highland White Terrier,4.333333333333333,2.3333333333333335,4.5,4.0,42.15384615384615,High Popularity,Terrier Group
Whippet,5.0,1.3333333333333333,3.25,3.0,56.23076923076923,High Popularity,Hound Group
Wire Fox Terrier,4.333333333333333,2.3333333333333335,4.25,4.0,101.23076923076923,Medium Popularity,Terrier Group
Wirehaired Pointing Griffon,4.333333333333333,2.6666666666666665,4.0,4.5,63.07692307692308,High Popularity,Sporting Group
Wirehaired Vizsla,4.333333333333333,2.0,4.25,4.5,146.75,Low Popularity,Sporting Group
Xoloitzcuintli,3.6666666666666665,1.0,3.5,3.75,131.30769230769232,Medium Popularity,Non-Sporting Group
Yorkshire Terrier,4.333333333333333,2.3333333333333335,4.75,4.0,10.384615384615385,High Popularity,Toy Group
